Title; Year; Original_line; Line_number; Last_word; Last_word_POS
Листопад; 1906; Лес, точно терем расписной,; 1; расписной; ADJF
Листопад; 1906; Лиловый, золотой, багряный,; 2; багряный; ADJF
Листопад; 1906; Веселой, пестрою стеной; 3; стеной; NOUN
Листопад; 1906; Стоит над светлою поляной.; 4; поляной; NOUN
Вечер; 1909; О счастье мы всегда лишь вспоминаем.; 1; вспоминаем; VERB
Вечер; 1909; Вот этот сад осенний за сараем; 3; сараем; NOUN
Вечер; 1909; И чистый воздух, льющийся в окно.; 4; окно; NOUN
Одиночество; 1906; И ветер, и дождик, и мгла; 1; мгла; NOUN
Одиночество; 1906; Над холодной пустыней воды.; 2; воды; NOUN
Одиночество; 1906; Здесь жизнь до весны умерла,; 3; умерла; VERB
Одиночество; 1906; До весны опустели сады.; 4; сады; NOUN
Одиночество; 1906; Я на даче один. Мне темно; 5; темно; ADVB
Одиночество; 1906; За мольбертом, и дует в окно.; 6; окно; NOUN
Детство; 1906; Чем жарче день, тем сладостней в бору; 1; бору; NOUN
Детство; 1906; Дышать сухим смолистым ароматом,; 2; ароматом; NOUN
Детство; 1906; И весело мне было поутру; 3; поутру; ADVB
Детство; 1906; Бродить по этим солнечным палатам!; 4; палатам; NOUN
Матери; Год написания не известен; Я помню спальню и лампадку.; 1; лампадку; NOUN
Матери; Год написания не известен; Игрушки, теплую кроватку; 2; кроватку; NOUN
Матери; Год написания не известен; И милый, кроткий голос твой:; 3; твой; ADJF
Слово; 1915; Лишь слову жизнь дана:; 2; дана; PRTS
Слово; 1915; Из древней тьмы, на мировом погосте,; 3; погосте; NOUN
Слово; 1915; Звучат лишь Письмена.; 4; Письмена; NOUN
Первый снег; Год написания не известен; Зимним холодом пахнуло; 1; пахнуло; VERB
Первый снег; Год написания не известен; На поля и на леса.; 2; леса; NOUN
Первый снег; Год написания не известен; Ярким пурпуром зажглися; 3; зажглися; GRND
Первый снег; Год написания не известен; Пред закатом небеса.; 4; небеса; NOUN
Родина; 1896; Под небом мертвенно-свинцовым; 1; мертвенносвинцовым; NOUN
Родина; 1896; Угрюмо меркнет зимний день,; 2; день; NOUN
Родина; 1896; И нет конца лесам сосновым,; 3; сосновым; ADJF
Родина; 1896; И далеко до деревень.; 4; деревень; NOUN
Настанет день, исчезну я; 1916; Настанет день — исчезну я,; 1; я; NPRO
Настанет день, исчезну я; 1916; А в этой комнате пустой; 2; пустой; ADJF
