Title; Author; Year; Original_line
Листопад; Иван Бунин; 1906; Лес, точно терем расписной,
Листопад; Иван Бунин; 1906; Лиловый, золотой, багряный,
Листопад; Иван Бунин; 1906; Веселой, пестрою стеной
Листопад; Иван Бунин; 1906; Стоит над светлою поляной.
Вечер; Иван Бунин; 1909; О счастье мы всегда лишь вспоминаем.
Вечер; Иван Бунин; 1909; Вот этот сад осенний за сараем
Вечер; Иван Бунин; 1909; И чистый воздух, льющийся в окно.
Одиночество; Иван Бунин; 1906; И ветер, и дождик, и мгла
Одиночество; Иван Бунин; 1906; Над холодной пустыней воды.
Одиночество; Иван Бунин; 1906; Здесь жизнь до весны умерла,
Одиночество; Иван Бунин; 1906; До весны опустели сады.
Одиночество; Иван Бунин; 1906; Я на даче один. Мне темно
Одиночество; Иван Бунин; 1906; За мольбертом, и дует в окно.
Детство; Иван Бунин; 1906; Чем жарче день, тем сладостней в бору
Детство; Иван Бунин; 1906; Дышать сухим смолистым ароматом,
Детство; Иван Бунин; 1906; И весело мне было поутру
Детство; Иван Бунин; 1906; Бродить по этим солнечным палатам!
Матери; Иван Бунин; Год написания не известен; Я помню спальню и лампадку.
Матери; Иван Бунин; Год написания не известен; Игрушки, теплую кроватку
Матери; Иван Бунин; Год написания не известен; И милый, кроткий голос твой:
Слово; Иван Бунин; 1915; Лишь слову жизнь дана:
Слово; Иван Бунин; 1915; Из древней тьмы, на мировом погосте,
Слово; Иван Бунин; 1915; Звучат лишь Письмена.
Первый снег; Иван Бунин; Год написания не известен; Зимним холодом пахнуло
Первый снег; Иван Бунин; Год написания не известен; На поля и на леса.
Первый снег; Иван Бунин; Год написания не известен; Ярким пурпуром зажглися
Первый снег; Иван Бунин; Год написания не известен; Пред закатом небеса.
Родина; Иван Бунин; 1896; Под небом мертвенно-свинцовым
Родина; Иван Бунин; 1896; Угрюмо меркнет зимний день,
Родина; Иван Бунин; 1896; И нет конца лесам сосновым,
Родина; Иван Бунин; 1896; И далеко до деревень.
Настанет день, исчезну я; Иван Бунин; 1916; Настанет день — исчезну я,
Настанет день, исчезну я; Иван Бунин; 1916; А в этой комнате пустой
Настанет день, исчезну я; Иван Бунин; 1916; Все то же будет: стол, скамья
Настанет день, исчезну я; Иван Бунин; 1916; Да образ, древний и простой.
Последний шмель; Иван Бунин; 1916; Черный бархатный шмель, золотое оплечье,
Последний шмель; Иван Бунин; 1916; Заунывно гудящий певучей струной,
Последний шмель; Иван Бунин; 1916; Ты зачем залетаешь в жилье человечье
Последний шмель; Иван Бунин; 1916; И как будто тоскуешь со мной? За окном свет и зной, подоконники ярки,
Последний шмель; Иван Бунин; 1916; Безмятежны и жарки последние дни,
Последний шмель; Иван Бунин; 1916; Полетай, погуди — и в засохшей татарке,
Последний шмель; Иван Бунин; 1916; На подушечке красной, усни.Не дано тебе знать человеческой думы,
Последний шмель; Иван Бунин; 1916; Что давно опустели поля,
Последний шмель; Иван Бунин; 1916; Что уж скоро в бурьян сдует ветер угрюмый
Последний шмель; Иван Бунин; 1916; Золотого сухого шмеля!
Не видно птиц…; Иван Бунин; 1889; Не видно птиц. Покорно чахнет
Не видно птиц…; Иван Бунин; 1889; Лес, опустевший и больной.
